JAI HOSPITALITY RG
"WENESCO NANUET,"
"SSP AMERICA SFO,"
"PHOENIX PARTNERS,"
"WenVentures,"
Yum & Chill Wen Holdings
"QUAKERTOWN WEN,"
"WENESCO WEST NEW YORK,"
"BB St. Louis,"
"OM KNJ,"
"Rawson Food Services,"
"WENDPAR,"
"WEN RIVERHEAD,"
"SOUTH GA BURGERS,"
MYRTLE WDY
"WEST HILL RANCH GROUP,"
"Emerald Foods,"
"WEN TENNESSEE,"
Wend Baltimore North
"MORRISVILLE WEN,"
"HPB PARTNERS,"
"RKR RESTAURANTS,"
PILOT TRAVEL CENTERS
"JAI AUGUSTA,"
"MUY HAMBURGER PARTNERS,"
"Race Track Wenco,"
"WENCONN OF STAMFORD,"
POINT BEACH WEN
"NUTMEGWEN,"
"WEN VIRGINIA,"
FOUR SEASONS HOLDINGS
"WENESCO BATHGATE,"
"WEN OKLAHOMA,"
"WENESCO XANADU,"
"PENN-FORREST FOODS, INC., DANIEL D. FORRESTAL PRIMARY AIM,"
"LANCHECK,"
"MUNSTER ENTERPRISES,"
"VAB WEN,"
"WOW Ventures,"
"KENNEDY HIGHLAND ENTERPRISES,"
"DUNN, STEVEN TYE, WEST-ROCK AIRMONT,"
Carolina Quality Foods
"WENDAUREL,"
"WENTANA,"
"WEN-TATAMY,"
WENGRAND
"WENDBTMW,"
"Chalmette Restaurants,"
"WENDGUSTA,"
WEST ROCK FREEHOLD
"WENESCO NORTH BERGEN,"
"QFRM Dev FL,"
C&L OF RANDO
"CCCWEN,"
"QFRM DEV FL,"
WEND CENTRAL MARYLAND
ALAYNA HOSPITALITY
WENDPAC NEVADA
"INTEGRITY FOOD GROUP,"
"WENSPOK RESOURCES,"
"WENDSCHMIDT NC,"
TA OPERATING
"TNTFC,"
"WENTAW,"
"FORT HILL RESTAURANT GROUP,"
"KNJ,"
"CBM OF NEW RIVER,"
"Mid-Hudson Wendico,"
SRRG NBL
"TINSLEY-BRIDGEMAN,"
WENESCO PATERSON
"WENZONA BULLHEAD CITY,"
"WEN CENTER MORICHES,"
WEST-ROCK
"WEN SHIRLEY,"
"SOUTHEAST FOOD SERVICES COMPANY,"
"WendGusta,"
"WENCO HOLDINGS,"
"Wen Georgia,"
YELLOW CAB HOLDINGS PENNSYLVANIA
TRIWEN ELMSFORD
"HAMRA CHICAGO,"
"TRI-CITIES RESTAURANT GROUP,"
BF ILLINOIS
WEN-GAP
"WENDYS OF NEW ENGLAND,"
"WENZONA EAST YUMA,"
"THE GROVE, INC. WEND BALTIMORE NORTH"
"JDL INVESTMENTS II,"
YELLOW CAB HOLDINGS NEW JERSEY
"WENCONN OF WESTPORT AVENUE NORWALK,"
"PRUSSIA WEN,"
EATONTOWN WEN
"Ray An Enterprises,"
MONTGOMERYVILLE WEN
WENEVADA
"Heckscher Wenco,"
"ISABEL ANN, REAL ESTATE,"
"AREAS AERO MSP JV,"
"GROUP,"
"WMILCO,"
NOLA BURGER
"PNV Restaurants,"
W.K:S. Frosty
"Arizona Restaurant Company,"
"Haza Foods of Northeast,"
"WENDMIDDLE,"
JJM Burgers
"WENDCO OF ORLANDO,"
