Company Names
"WENESCO WEST NEW YORK, LLC"
"HAZA FOODS OF LOUISIANA, LLC"
"JDL INVESTMENTS II, LLC"
WEND CENTRAL MARYLAND LLC
"JAI AUGUSTA, LLC"
"TREV NICK, LLC"
Yellow Cab Holdings Pennsylvania LLC
TA OPERATING LLC
"THE GROVE, INC. WEND BALTIMORE NORTH LLC"
"Wendy’s of Bowling Green, Inc"
"WENSPOK RESOURCES, LLC"
WENDORIO LLC
"CCCWEN, LLC"
WEND BALTIMORE SOUTH LLC
"WEN JAI RESTAURANT GROUP, LLC"
"Rawson Food Services, Inc"
"WEN OKLAHOMA, LLC"
TRIWEN WEST HAVERSTRAW LLC
HAZA FOODS OF MINNESOTA LLC
"WenDelta, Inc"
YELLOW CAB HOLDINGS PENNSYLVANIA LLC
"Commonwealth Wenco, LLC"
"STARBOARD GROUP OF TAMPA II, LLC"
TSFR BURGER LLC
"Arizona Restaurant Company, LLC"
"WENTANA, LLC"
"SOUDERTON WEN, LLC"
"Wen Georgia, LLC"
"WENCO HOLDINGS, LLC"
TRINITY FOODS LLC
"GARFIELD AVE. FOODS, LLC"
VA LP
"JAI CHATTANOOGA, LLC"
Wend Baltimore South LLC
"WENDCO OF NEW HAMPSHIRE, LLC"
WENDCO OF VERMONTINY LLC
"CLAIRE FRANCIS, REAL ESTATE, LLC"
"Haza Foods of Northeast, LLC"
"WEN CENTER MORICHES, LLC"
"JAEA Restaurant Holdings, LLC"
ZARI FOODS LLC
"GROUP W AKSAN IA, LLC"
"STARBOARD GROUP OF SPACE COAST, LLC"
"WENESCO PALISADES, LLC"
VESSEL OPERATING HOLDCO LLC
"WENDCO OF MAINE, LLC"
"A.G.E. ENTERPRISES, LLC"
"ASKAN IA FC, LLC"
"PNV Restaurants, Inc"
"YCD ENTERPRISES, LLC"
"EMMA DANIELLE, REAL ESTATE, LLC"
WENPLATTE LLC
"HAMMOND ENTERPRISES, LLC"
"TRI-CITIES RESTAURANT GROUP, LLC"
"CBM OF RIDGELAND, LLC"
"WenJoy, LLC"
"WENDPARK, LLC"
"WOF-Salinas, Inc"
"GBK FOODS, LLC"
"MUY HAMBURGER PARTNERS, LLC"
WENPLAINS LLC
"HAZA FOODS, LLC"
"LANCHECK, LLC"
"SSP AMERICA SFO, LLC"
"WENTEX FOODS, LLC"
"PENN-FORREST FOODS, INC., DANIEL D. FORRESTAL PRIMARY AIM, LLC"
"RESERVOIR AVE. FOODS, LLC"
"WenZona Prescott, LLC"
"WENDCO OF TAMPA, LLC"
"PATTMAN, LLC"
COLLEGEVILLE WEN LLC
WENDGORD LLC
Yum & Chill Wen Holdings LLC
"WEN-STROUD, LLC"
JAI HOSPITALITY RG LLC
"WEN GEORGIA, LLC"
WEST ROCK FREEHOLD LLC
"WEST HILL RANCH GROUP, LLC"
YELLOW CAB HOLDINGS NEW JERSEY LLC
"WEN CAROLINAS, LLC"
"QFRM DEV IN, LLC"
"MUNSTER ENTERPRISES, LLC"
"RDC RESTAURANTS, LLC"
"WEN-TATAMY, LLC"
"WenMar, Inc"
"STARBOARD GROUP OF SOUTHEAST FLORIDA, LLC"
WENDPAC NEVADA LLC
"WENCONN OF WESTPORT AVENUE NORWALK, LLC"
WEST-ROCK LLC
"WEN OHIO, LLC"
"WT SIOUX, LLC"
"WEN SHIRLEY, LLC"
TRIWEN ELMSFORD LLC
"BRIAD WENCHEST, LLC"
"ELITE BURGERS, LLC"
WEND BALTIMORE NORTH LLC
"JDL INVESTMENTS IV, LLC"
"VP RESTAURANTS, LLC"
"HARVEY A. BENNETT, JR., PATRICIA J. BENNETT, THE PARADIGM GROUP, LLC"
"WENVALLEY, LLC"
"BE WORTHY FOODS AKRON, LLC"
"WENESCO BOSTON ROAD, LLC"
"RIVER FLATS, LLC"
HARRISBURG LIV BACON LLC
"WEN SOUTH, LLC"
"WENCONN OF BRIDGEPORT, LLC"
"SANDESARA FOOD SERVICES, LLC"
"TEN ROD FOODS, LLC"
"VAB WEN, LLC"
"BODAN AKSAN IA, LLC"
"ARAMARK EDUCATIONAL SERVICES, LLC"
"BRK OF ALABAMA, LLC"
"HAZA FOODS OF NORTHEAST, LLC"
"Mid-Hudson Wendico, Inc"
"TRIWEN HAWTHORNE, LLC"
"WENZONA CAMP VERDE, LLC"
"WenVentures, LLC"
"LEGACY CP MAINE, LLC"
"KENNEDY HIGHLAND ENTERPRISES, LLC"
"S & J LONE STAR ENTERPRISES, LLC"
"CONSHOHOCKEN WEN, LLC"
W.K:S. Frosty Corp
"WENDPAC, LLC"
"WENCO INDIANA, LLC"
WENESCO CLIFTON LLC
"BRONCO BURGERS, LLC"
"KNJ RESTAURANTS, LLC"
"WENDYS OF NEW ENGLAND, LLC"
"FOUR CORNER HAMBURGERS, LLC"
"EXTON WEN, LLC"
"Wen Tennessee, LLC"
SRRG NBL LLC
"WEN-ALBANY, LLC"
"PRUSSIA WEN, LLC"
"HOJEIJ BRANDED FOODS, LLC"
FOUR SEASONS HOLDINGS LLC
"QFRM DEV FL, LLC"
"CBM ENTERPRISES, LLC"
"WENDSCHMIDT NC, LLC"
"WENZONA KINGMAN, LLC"
"JOJOEMIHA, LLC"
"Carolina, Inc"
"QUAKERTOWN WEN, LLC"
"GABRIELLE CHRISTINE, REAL ESTATE, LLC"
"KNJ, LLC"
"DJ RENTALS, LLC"
"INTEGRITY FOOD GROUP, LLC"
"Ray An Enterprises, LLC"
"ISABEL ANN, REAL ESTATE, LLC"
MYRTLE WDY LLC
WENEVADA LLC
"CAPWEN, LLC"
"FORT HILL RESTAURANT GROUP, LLC"
Carolina Quality Foods Inc
"WENDMIDDLE, LLC"
"R & L Foods, LLC"
"PRIMARY AIM, LLC"
"NUTMEGWEN, LLC"
Pebblestone Inc
"Carolina Restaurant Group, Inc"
PHILADE LP
Stonewall Road Restaurant Group LLC
"Wenco Indiana, LLC"
"AREAS USA MDTP, LLC"
"ARIZONA RESTAURANT COMPANY, LLC"
"PHOENIX PARTNERS, LLC"
"HUDWEN, LLC"
"BINGCUSE, LLC"
"CBM OF NEW RIVER, LLC"
"STARBOARD GROUP OF ALABAMA, LLC"
"WENESCO YONKERS, LLC"
"WENDAUREL, LLC"
Tar Heel Capital Corp
WENESCO PATERSON LLC
"WOW Ventures, Inc"
"WendGusta, LLC"
"WENCONN OF STAMFORD, LLC"
"BE WORTHY FOODS, LLC"
Vessel Operating Holdco LLC
"NY BACON, LLC"
"YCD ENTERPRISES Il, LLC"
WENDBILL LLC
"WEN TENNESSEE, LLC"
"WENDCO OF ORLANDO, LLC"
Harrisburg LIV Bacon LLC
"GENESIS RESTAURANT GROUP, LLC"
"LEGACY RESTAURANT GROUP, LLC"
"DUNN, STEVEN TYE, WEST-ROCK AIRMONT, LLC"
"TINSLEY-BRIDGEMAN, LLC"
"HBF VERGE PARTNERS I JV, LLC"
STONY CREEK FOOD SERVICE II LLC
CHRISTINA MARIA REAL ESTATE LLC
"SQUARE PATTY OF OHIO, LLC"
"JENNA MARIE, REAL ESTATE, LLC"
"JENOO GROUP, LLC"
"Barbros Foods, Ltd"
"Wen South, LLC"
Road Ranger LLC
"CCF, LLC"
"WENESCO NANUET, LLC"
"ANB CONCESSIONS, LLC"
"WENZONA BULLHEAD CITY, LLC"
"Wendys of Bloomington, Inc"
"JBS Foods, Inc"
"JDL INVESTMENTS Il, LLC"
E LP
"WENZONA EAST YUMA, LLC"
"WENESCO SECAUCUS, LLC"
"THE PARADIGM GROUP, LLC"
"WEN RIVERHEAD, LLC"
WENCOM LLC
"WEN MANORVILLE, LLC"
"WenCarter, Inc"
"Wend-Rockies, Inc"
"WENTANA EAST, LLC"
"KAS FOODS, LLC"
"Aksan United Fortune, Inc"
"WENZONA PRESCOTT VALLEY, LLC"
"JAE North Florida, LLC"
WENESCO WEST CALDWELL LLC
"WENDBTMW, LLC"
"Wen Oklahoma, LLC"
BF ILLINOIS LLC
"WEN VIRGINIA, LLC"
WENESCO NORTH BERGEN III LLC
"FASHION FOOD, LLC"
"MERRILLVILLE ENTERPRISES, LLC"
"AKSAN GSM UNITED FORTUNE, LLC"
"WENDELTA, INC., CARLISLE LLC"
"JAE Florida, LLC"
TRIWEN MONROE LLC
"HBF IAD JV, LLC"
"CBM OF WILMINGTON ISLAND, LLC"
JJM Burgers LLC
"WENDOMING WEST CASPER, LLC"
PHILLY LIV BACON LLC
"MANZANITA, LLC"
"Emerald Foods, Inc"
"WENOREGON, LLC"
SRRG RESTAURANTS LLC
"WENDGUSTA, LLC"
"GROUP, LLC"
"WENDPAR, LLC"
"RAY AN ENTERPRISES, LLC"
"RKR RESTAURANTS, LLC"
"Shirley May Restaurant Group, Inc"
Y & C WEN NY LLC
